"","Stratum","Longitude","Latitude"
"1","88",-114.29353,29.32541
"11","9",-113.94486,29.01457
"20","84",-113.66787,28.96651
"29","175",-113.48973,28.72796
"36","177",-113.99141,28.66056
"46","173",-112.86985,28.40846
"56","171",-113.18263,28.22308
"66","89",-113.39991,28.03661
"76","159",-113.31609,27.52944
"85","SFr",-112.964,27.3632
"94","160",-112.52959,27.40498
"104","162",-112.408,27.2028
"114","12",-112.66552,27.18232
"124","161",-112.986,27.0367
"134","93",-112.04613,26.94589
"144","165",-112.40948,26.24905
"154","169",-111.37833,26.20876
"164","58",-111.35475,26.0155
"173","166",-112.08062,25.91409
"183","64",-111.32638,25.60521
"188","168",-111.21563,25.55757
"198","51",-111.60056,25.34819
"205","Const",-111.675,25.0247
"216","77",-110.69175,24.87611
"226","164",-111.5441,24.74642
"236","75",-110.74599,24.58843
"247","163",-110.951,24.2115
"257","ESan",-110.36857,24.45879
"265","153",-110.46236,24.13389
"275","48",-110.27252,24.21441
"285","156",-109.989,24.0438
"291","157",-110.096,24.0195
"301","73",-109.85071,24.00789
"311","Aqu",-110.10429,23.2855
"319","Mat",-110.1091,23.08984
"324","98",-109.64869,23.0757
"328","101",-110.57436,27.90509
"337","32",-109.327,26.63783
"356","102",-109.12633,26.38014
